time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
12:26:09.968560,192.168.0.1:58208,10.0.0.2:5201,0,2564667370,0,10,2147483647,0,42340,0
12:26:09.968829,192.168.0.1:36078,10.0.0.2:5202,0,2968043658,0,10,2147483647,0,42340,0
12:26:09.976853,192.168.0.1:58208,10.0.0.2:5201,0,2564667371,377478759,10,2147483647,66320,42496,0
12:26:09.976875,192.168.0.1:36078,10.0.0.2:5202,0,2968043659,1676949913,10,2147483647,64304,42496,0
12:26:09.976888,192.168.0.1:58208,10.0.0.2:5201,37,2564667371,377478759,10,2147483647,66320,42496,0
12:26:09.976894,192.168.0.1:36078,10.0.0.2:5202,37,2968043659,1676949913,10,2147483647,64304,42496,0
12:26:09.980993,192.168.0.1:58208,10.0.0.2:5201,0,2564667408,377478760,10,2147483647,62123,42496,0
12:26:09.981019,192.168.0.1:36078,10.0.0.2:5202,0,2968043696,1676949914,10,2147483647,60357,42496,0
12:26:09.981055,192.168.0.1:58208,10.0.0.2:5201,4,2564667408,377478760,10,2147483647,62123,42496,0
12:26:09.981063,192.168.0.1:36078,10.0.0.2:5202,4,2968043696,1676949914,10,2147483647,60357,42496,0
12:26:10.028555,192.168.0.1:36078,10.0.0.2:5202,136,2968043700,1676949914,10,2147483647,100295,42496,0
12:26:10.028593,192.168.0.1:58208,10.0.0.2:5201,135,2564667412,377478760,10,2147483647,101896,42496,0
12:26:10.032761,192.168.0.1:36088,10.0.0.2:5202,0,761562592,0,10,2147483647,0,42340,0
12:26:10.032763,192.168.0.1:58210,10.0.0.2:5201,0,1654889323,0,10,2147483647,0,42340,0
12:26:10.036900,192.168.0.1:58210,10.0.0.2:5201,0,1654889324,3150927080,10,2147483647,33032,42496,0
12:26:10.036914,192.168.0.1:36088,10.0.0.2:5202,0,761562593,3901824746,10,2147483647,33184,42496,0
12:26:10.036927,192.168.0.1:58210,10.0.0.2:5201,37,1654889324,3150927080,10,2147483647,33032,42496,0
12:26:10.036941,192.168.0.1:36088,10.0.0.2:5202,37,761562593,3901824746,10,2147483647,33184,42496,0
12:26:10.074486,192.168.0.1:58208,10.0.0.2:5201,0,2564667547,377478761,10,2147483647,93256,42496,0
12:26:10.074510,192.168.0.1:36078,10.0.0.2:5202,0,2968043836,1676949915,10,2147483647,91887,42496,0
12:26:10.078630,192.168.0.1:58208,10.0.0.2:5201,0,2564667547,377478763,10,2147483647,93256,42496,0
12:26:10.078662,192.168.0.1:36078,10.0.0.2:5202,0,2968043836,1676949917,10,2147483647,91887,42496,0
